Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
239,Paul Bernardoni,FRA,GK,Angers,Ligue 1,25,1997,7,7,630,7,0,0,0,0,0,0,0,0,0,0,19.6,29,67.5,575.9,388,4.14,4.14,100,8.71,8.71,100,6.57,15.9,41.4,0,0,0.57,0,0,0,29,17.4,11.6,3,0,0.86,0.14,0,0,0,0,0,14.6,0.29,14.1,18.7,3.29,0,0,5.57,19.6,0.14,1,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14,32.3,28.7,32.1,0.14,0,0,21,0,0,0,0,0,12.1,46.7,29.4,0,0,0,0,0,9.86,9.71,98.6,0,0,0,0,0,0.14,0,0,0,0,0,0,4.29,0,0,0
240,Juan Bernat,ESP,DF,Paris S-G,Ligue 1,29,1993,9,6,499,5.5,0.18,0.55,0.55,100,0.33,0.33,9.4,0,0,0,47.1,51.6,91.2,666.9,170,28.7,30,95.8,16,17.8,89.8,1.45,1.64,88.9,0,0.73,0.91,0.55,0.18,1.45,51.6,47.6,4,0.73,0,5.09,0.36,2.18,0,0,0,0,43.6,6,2,44.9,2.55,0.73,3.27,0,47.1,0,0.55,1.09,0.91,1.64,1.64,0,0,0,0,0,0.36,0.36,0,0,0,0,0,2.18,1.45,1.64,0.18,0.36,1.09,2.18,50,1.09,10.2,3.27,32.1,3.82,3.82,2.55,1.09,0,0,1.09,0.55,2.73,1.45,0,60,3.45,20.5,25.5,15.8,4.18,56.5,0.36,1.45,25,0.36,0,41.8,190.4,95.6,3.82,0.18,0.36,0.91,0.55,48.7,44.7,91.8,4.73,0.18,0,0,0.55,1.09,0,2.18,1.45,0,0,0,6.18,0.18,0.36,33.3
241,Jason Berthomier,FRA,MF,Clermont Foot,Ligue 1,32,1990,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,63.3,63.3,100,996.7,166.7,23.3,23.3,100,30,30,100,3.33,3.33,100,0,0,3.33,0,0,6.67,63.3,56.7,6.67,3.33,0,10,0,0,3.33,0,0,0,56.7,3.33,3.33,60,0,0,0,0,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,6.67,3.33,3.33,0,0,0,0,0,0,0,0,63.3,0,3.33,33.3,33.3,0,56.7,0,0,0,0,0,50,140,33.3,0,3.33,0,0,0,63.3,50,78.9,3.33,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,3.33,50
242,Beto,GNB,FW,Udinese,Serie A,24,1998,11,5,481,5.3,0.94,3.02,1.51,50,0.31,0.63,10.4,0,0,0,8.68,14,62.2,108.3,17.7,4.72,7.17,65.8,3.02,5.09,59.3,0,0.38,0,0,0.94,0.38,0,0,0.57,14,14,0,0,0,6.79,0,0.94,0,0,0,0,6.6,3.58,3.77,1.13,7.36,1.7,0,0.19,8.68,0,0.38,0.94,0.19,1.32,1.13,0,0.19,0,0,0,0,0,0,0,0,0,0,0.94,0.75,0,0.38,0.57,0.38,0.94,40,0.57,13.6,3.58,26.4,0.75,4.72,8.11,1.13,0,0,1.13,0,0.94,1.13,0,32.5,1.32,2.45,12.6,18.7,9.25,32.5,0.57,1.89,30,0.57,0.19,15.1,53.8,31.9,2.26,0.38,1.13,6.98,2.26,42.6,24.7,58,8.3,0,0,0,1.32,1.13,0.19,0.94,0.75,0,0,0,3.4,5.09,5.09,50
243,Owen Bevan,WAL,DF,Bournemouth,Premier League,18,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,20,30,66.7,350,70,10,10,100,10,10,100,0,0,0,0,0,0,0,0,0,30,30,0,0,0,20,0,0,0,0,0,0,20,10,0,10,20,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,10,100,0,10,10,100,10,0,0,0,0,0,0,0,10,0,0,30,0,30,0,0,0,30,0,0,0,0,0,30,130,0,0,0,0,0,0,10,10,100,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
244,Matteo Bianchetti,ITA,DF,Cremonese,Serie A,29,1993,8,6,638,7.1,0.14,0.7,0.42,60,0.2,0.33,8.9,0,0,0,30.6,38.3,79.8,669.7,256.9,9.58,10.6,90.7,15.5,18,85.9,5.35,8.73,61.3,0,0.14,1.83,0.28,0,1.55,38.3,36.2,2.11,1.97,0.14,6.62,0.42,0.14,0,0,0,0,27.2,2.82,8.31,5.07,28,2.96,0.14,0.14,30.6,0,1.13,0.42,0.85,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0.56,0.99,0.7,0.14,0.42,0.85,50,0.42,10.8,2.96,27.3,6.62,3.52,0.7,2.54,1.69,0,0.85,1.27,3.1,5.77,0,51.1,9.01,31.8,20.3,2.25,1.13,49,0.14,0.14,100,0.14,0,25.1,138.3,64.6,0.7,0,0.14,0.14,0.14,26.8,26.2,97.9,0,0.14,0,0,1.27,0,0,0.14,0.56,0,0.14,0,10.1,2.82,1.55,64.5
245,Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,80,100,80,1550,800,30,35,85.7,45,50,90,5,15,33.3,0,0,0,0,0,5,100,90,10,0,0,10,0,5,0,0,0,0,65,10,25,5,75,5,10,0,80,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,10,15,0,0,10,10,100,0,25,5,20,20,5,0,0,0,0,0,5,20,0,0,120,15,85,35,5,0,110,0,0,0,0,0,75,520,330,10,5,0,5,0,70,65,92.9,5,0,0,0,0,0,0,5,10,0,0,0,15,5,0,100
246,Pedro Bigas,ESP,DF,Elche,La Liga,32,1990,10,10,824,9.2,0,0.33,0.22,66.7,0,0,17.8,0,0,0,35.2,44,80,784.5,326.7,10.8,11.5,93.4,16.8,18.7,90.1,7.28,12.8,56.8,0,0,2.93,0,0,2.17,44,40.5,3.48,3.04,0,3.26,1.63,0,0,0,0,0,33,1.85,9.13,22.9,19.3,1.52,0.11,0.11,35.2,0.33,0.98,0.76,0.87,0.65,0.43,0,0,0.11,0.11,0,0.22,0,0,0,0.11,0.11,0,2.07,1.52,1.52,0.43,0.11,0.33,0.98,33.3,0.65,9.89,3.48,35.2,6.96,2.39,0.54,1.96,0.87,0,1.09,3.48,5.54,3.8,0,54.9,8.7,31.6,25.9,2.17,0.22,51.4,0.33,0.43,75,0.33,0,32.3,220,124.6,2.93,1.09,0,0.22,0.33,33.6,33,98.4,0,0.33,0,0,0.76,0.76,0,0,1.52,0.11,0.11,0,6.2,0.76,1.09,41.2
247,Jaka Bijol,SVN,DF,Udinese,Serie A,23,1999,8,8,579,6.4,0.31,0.63,0.47,75,0.5,0.67,7.4,0,0,0,36.9,43.6,84.6,828,202.5,7.19,9.06,79.3,22.3,23.8,94.1,6.72,9.22,72.9,0,0.16,1.56,0,0,1.88,43.6,42.7,0.94,0.94,0,6.09,0.47,0.16,0,0,0,0,31.4,3.75,8.44,5.94,31.1,2.66,0,0.63,36.9,0.31,0.78,0.16,0.63,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,1.72,1.09,1.09,0.63,0,0.47,0.94,50,0.47,7.5,3.13,41.7,3.28,3.91,0.31,1.72,0.63,0,1.09,0.47,2.19,7.03,0,55.9,9.38,32.8,25.3,1.88,0.94,55,0.16,0.16,100,0.16,0,29.2,183.3,77.5,1.25,0.16,0,0.31,0.16,32.3,32.2,99.5,0.16,0.31,0,0,0.47,0.31,0,0.16,1.09,0,0,0,10.8,5.94,1.41,80.9
248,El Bilal Touré,MLI,FW,Almería,La Liga,21,2001,6,5,420,4.7,0.64,2.13,1.06,50,0.3,0.6,10.6,0,0,0,12.3,17.7,69.9,149.4,21.1,8.3,10.2,81.3,2.34,4.47,52.4,0.64,0.85,75,0.21,0.85,0.43,0.21,0,0.64,17.7,15.7,1.91,0,0,3.83,0,0.21,0,0,0,0,10,5.53,2.13,3.19,10,1.49,0,1.7,12.3,0,0.43,0.64,0.43,2.13,1.7,0,0.21,0.21,0,0,0.43,0.21,0,0.21,0,0,0,0.43,0.21,0.21,0.21,0,0,0.21,0,0.21,12.6,2.98,23.7,0.43,6.6,5.53,1.06,0.21,0,0.85,0.43,0.85,1.91,0,29.8,2.55,4.26,14.3,12.6,4.26,27.9,0.43,1.28,33.3,1.06,0.21,16.2,65.7,36.6,1.91,0.43,0.21,3.83,1.7,34.7,19.8,57.1,5.53,0,0,0,1.7,0,0.43,0.21,0.21,0,0,0,3.62,2.77,1.91,59.1
249,El Bilal Touré,MLI,FW,Reims,Ligue 1,21,2001,3,1,91,1,0,1,1,100,0,0,27.2,0,0,0,15,20,75,228,37,9,10,90,6,8,75,0,1,0,0,2,1,1,0,2,20,16,4,0,0,9,0,0,0,0,0,0,10,7,3,3,11,2,0,1,15,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,19,6,31.6,1,10,8,1,0,0,1,0,1,1,0,29,1,3,16,13,2,25,1,3,33.3,1,0,11,64,53,1,1,1,2,2,50,20,40,3,0,0,0,3,1,0,0,1,0,0,0,2,4,7,36.4
250,Philip Billing,DEN,MFFW,Bournemouth,Premier League,26,1996,11,9,807,9,0.33,0.89,0.44,50,0.38,0.75,18.9,0.11,0,0,23.4,30.4,77,360.3,86.4,12.8,14.8,86.5,8,10.1,79.1,1.67,3.11,53.6,0.11,0.78,1.67,0.44,0.11,1.78,30.4,29.3,1.11,0.89,0,5.67,0.67,0.89,0,0,0,0,20.9,4,5.56,22,4.33,2,0,0.44,23.4,0,0.67,1.22,1.11,1.67,1.33,0,0,0.11,0.22,0,0.33,0.22,0,0,0.11,0,0,2.11,1.33,0.89,0.78,0.44,0.56,1.78,31.3,1.22,21.9,5.33,24.4,7.33,8.78,5.78,2.11,0.44,0,1.67,1.22,3.33,1.56,0,42.7,2.44,11.3,20.4,14.4,2.56,41.6,0.67,1.33,50,0.67,0.22,24.3,121,65.7,2.67,1,0.56,1.78,2,36.2,28,77.3,3.44,0.11,0,0,1.33,1.78,0.33,0.89,1.33,0,0,0,6,2.44,1.56,61.1
251,Jean-Claude Billong,CMR,DF,Clermont Foot,Ligue 1,28,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,106.7,110,97,2156.7,466.7,30,30,100,70,70,100,6.67,10,66.7,0,0,3.33,0,0,6.67,110,106.7,3.33,3.33,0,10,3.33,0,0,0,0,0,90,0,20,3.33,93.3,3.33,0,0,106.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,3.33,3.33,0,0,113.3,10,36.7,76.7,3.33,0,110,0,0,0,0,0,80,423.3,243.3,13.3,0,0,0,0,83.3,83.3,100,0,0,0,0,0,0,0,0,0,0,0,0,20,10,6.67,60
252,Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,30,1992,10,9,795,8.8,0,0.8,0.11,14.3,0,0,28.2,0.45,0,0.11,59.2,77.8,76.1,1231.4,464.5,22.6,24.7,91.7,25.6,30,85.2,10.8,20.8,51.9,0,3.98,5.11,1.93,1.14,6.25,77.8,58.5,19.3,3.07,0,5.34,4.55,6.59,6.48,1.7,3.41,0.34,42.2,13.5,22.2,58.4,6.48,2.39,9.77,0.23,59.2,0.34,1.25,1.25,1.93,5.11,2.27,2.73,0,0.11,0,0,0,0,0,0,0,0,0,2.16,0.68,0.91,1.14,0.11,1.02,1.82,56.3,0.8,8.86,3.3,37.2,2.61,4.09,2.16,1.48,0.23,0,1.25,0.34,2.5,1.7,0,86,2.61,19.8,36.6,35,1.7,66.8,0.11,0.23,50,0.11,0,50.6,258.2,134.8,6.93,2.39,0.57,0.91,0.68,53.7,51.6,96,2.16,0,0,0,1.25,1.02,0,6.59,0.68,0,0,0,8.07,0.8,1.59,33.3
253,Samuele Birindelli,ITA,DF,Monza,Serie A,23,1999,10,6,536,6,0,1.17,0.33,28.6,0,0,16,0,0,0,34,47.3,71.8,616.3,181.7,14.7,16.8,87.1,14.8,19,78.1,3.67,9,40.7,0.17,0.83,0.83,1.5,1,2.83,47.3,41.2,6.17,0.17,0,5.67,2.17,5,0.17,0,0,0,26.2,9.17,12,6.67,31.8,2.5,5.83,0.33,34,0,1,2.67,1.67,2,1.83,0,0,0.17,0,0,0.17,0.17,0,0,0,0,0,2.83,1.67,1.67,0.5,0.67,1.17,2.17,53.8,1,11.2,2.33,20.9,5.5,3.17,2.5,2.83,0.67,0.17,2.17,2.5,5.33,1.5,0,60.7,3.33,17.2,24.5,24.3,2.5,54.5,1.17,2,58.3,1.33,0.17,38.8,238.2,141.2,8.17,2.17,0.33,1.67,0.5,41,37.3,91.1,3.67,0.17,0,0,0.83,1.17,0.33,5,1.67,0,0,0,6.5,0.17,0.83,16.7
254,Veljko Birman?evi?,SRB,FW,Toulouse,Ligue 1,24,1998,5,0,83,0.9,0,3.33,0,0,0,0,21.7,0,0,0,26.7,36.7,72.7,302.2,87.8,22.2,28.9,76.9,3.33,5.56,60,0,1.11,0,0,0,2.22,0,0,1.11,36.7,36.7,0,0,0,6.67,1.11,3.33,0,0,0,0,26.7,4.44,5.56,10,24.4,2.22,0,0,26.7,1.11,1.11,1.11,1.11,2.22,1.11,0,0,0,1.11,0,0,0,0,0,0,0,0,1.11,0,0,0,1.11,1.11,4.44,25,3.33,27.8,5.56,20,4.44,8.89,14.4,4.44,0,0,4.44,1.11,2.22,0,0,54.4,1.11,4.44,23.3,32.2,4.44,54.4,1.11,3.33,33.3,1.11,0,36.7,246.7,170,10,4.44,2.22,1.11,1.11,68.9,43.3,62.9,11.1,0,0,0,1.11,3.33,0,3.33,0,0,0,0,3.33,0,2.22,0
255,Tom Bischof,GER,FW,Hoffenheim,Bundesliga,17,2005,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,30,35,85.7,315,35,25,30,83.3,5,5,100,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,30,0,5,30,5,0,0,0,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,5,0,0,5,0,0,0,0,40,0,0,15,25,0,40,0,0,0,0,0,25,30,15,0,0,0,0,0,30,20,66.7,5,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0
256,Yves Bissouma,MLI,MF,Tottenham,Premier League,26,1996,11,4,440,4.9,0,0.61,0,0,0,0,24.2,0,0,0,54.9,60,91.5,961.2,190.4,24.3,25.7,94.4,24.7,25.5,96.8,5.31,6.73,78.8,0,0.61,3.06,0.41,0,3.06,60,58.4,1.63,1.02,0,4.69,0.41,0,0,0,0,0,50.6,5.1,4.29,7.76,48.6,2.65,0,0.82,54.9,0,0.61,2.04,0.41,3.06,2.24,0,0,0.2,0,0.61,0.2,0,0,0,0,0,0.2,1.43,0.82,0.61,0.61,0.2,0,1.22,0,1.22,15.3,3.88,25.3,6.94,6.53,1.84,1.22,0.82,0,0.41,1.63,3.06,1.02,0,68.2,2.65,19.2,45.1,7.35,0.2,66.5,0.2,0.2,100,0.2,0,44.3,221.6,92.7,3.06,0.2,0,1.22,0.61,51.8,50.4,97.2,0.41,0.61,0,0,2.04,0.61,0,0,0.82,0,0,0,10.4,0.41,0.2,66.7
257,Kristijan Bistrovi?,CRO,MF,Lecce,Serie A,24,1998,8,5,409,4.5,0,1.33,0.22,16.7,0,0,24.8,0.89,0,0,19.3,26.7,72.5,390.4,133.6,8.67,10,86.7,6.44,9.33,69,3.78,5.78,65.4,0,1.11,1.56,0.22,0.22,1.33,26.7,22.2,4.44,2.44,0,7.56,1.11,2.22,1.56,0.89,0.44,0,15.8,3.78,7.11,3.78,20.9,1.11,0,0.22,19.3,0.22,0.67,0.67,1.56,1.56,0.44,1.11,0,0,0,0,0,0,0,0,0,0,0,1.11,0.67,0.89,0.22,0,0.22,0.89,25,0.67,15.1,5.33,35.3,3.78,8.44,2.89,1.33,0,0,1.33,0.44,1.56,0,0,33.3,0.67,5.11,18.9,11.6,0.67,28.2,0.22,0.22,100,0.22,0,22.2,102.9,41.3,2.22,0.22,0,1.11,1.33,23.6,20.2,85.8,1.33,0,0,0,0.67,0.67,0.22,2.22,0.67,0,0,0,4.89,0.67,0.22,75
258,Leonardo Bittencourt,GER,MF,Werder Bremen,Bundesliga,28,1993,6,4,302,3.4,0.59,1.47,0.88,60,0.4,0.67,20.5,0,0,0,32.9,42.1,78.3,624.7,162.1,14.4,15.9,90.7,13.8,16.5,83.9,4.41,7.94,55.6,0,1.47,2.94,1.47,0.88,4.12,42.1,42.1,0,0,0.29,8.82,2.65,2.65,0,0,0,0,28.5,5,8.53,12.1,26.5,2.35,0,0.29,32.9,0,1.47,0.88,1.47,2.94,2.35,0,0,0,0.29,0.29,0.29,0,0,0,0,0.29,0,3.82,2.35,0.59,2.35,0.88,1.18,2.65,44.4,1.47,23.8,6.47,27.2,5,11.8,7.06,0.88,0,0,0.88,0.88,4.71,0.29,0,55.3,1.18,8.24,29.7,20.9,2.35,55.3,1.18,2.06,57.1,1.18,0,38.2,237.1,121.8,5,2.06,0.59,2.94,0.88,42.9,37.4,87,5.29,0.59,0,0,3.53,2.06,0.59,2.65,2.35,0,0,0,11.5,1.18,1.18,50
259,Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,18.7,26.8,69.6,605.8,351.9,2.25,2.25,100,8.75,8.83,99.1,7.67,15.8,48.7,0,0,0.42,0.08,0,0,26.8,17.6,9.25,2.33,0,2.25,0.83,0,0,0,0,0,13.4,0.67,12.8,3.17,19.3,0,0,3.83,18.7,0.08,0.08,0.25,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0.08,0,29.5,25.9,29.5,0,0,0,20.3,0,0,0,0,0,12.7,53.3,22.5,0,0,0,0,0,11.7,11.7,100,0,0.08,0,0,0,0.17,0,0,0,0,0,0,4.08,0,0,0
260,Blanco,ESP,MF,Cádiz,La Liga,22,2000,3,2,158,1.8,0,0,0,0,0,0,0,0,0,0,28.9,31.7,91.2,497.8,88.9,12.2,12.8,95.7,12.8,13.9,92,2.78,3.89,71.4,0,0.56,1.67,0.56,0,1.11,31.7,31.7,0,0,0,4.44,0.56,0,0,0,0,0,25.6,3.89,2.22,3.33,25.6,1.67,0,0,28.9,0,0,0.56,0,1.11,1.11,0,0,0,0,0,0,0,0,0,0,0,0,2.78,2.22,2.22,0.56,0,0.56,1.11,50,0.56,21.7,5.56,25.6,8.89,10.6,2.22,3.33,0,0,3.33,0.56,3.33,1.11,0,44.4,2.22,10,26.1,9.44,1.11,44.4,0.56,1.11,50,0.56,0,26.1,80.6,28.9,0.56,0.56,0,0.56,2.22,33.9,30.6,90.2,2.78,0,0,0,2.22,0.56,0,0,2.22,0,0,0,4.44,1.11,1.11,50
261,Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,27.3,36.7,74.5,681,380.3,5.67,5.67,100,14.3,14.3,100,7,16.3,42.9,0,0,0,0,0,0,36.7,26,10.7,1.67,0,3.67,0,0,0,0,0,0,23,0.67,13,6.33,25.3,0,0,5,27.3,0,0.33,0.33,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33.3,38,0,0,0,27.3,0,0,0,0,0,19.3,73.7,42.3,0,0,0,0,0,17.7,17.3,98.1,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0
262,Ludovic Blas,FRA,MFFW,Nantes,Ligue 1,24,1997,12,9,887,9.9,0.1,3.54,0.81,22.9,0,0,22.5,0.1,0.1,0.2,29.8,35.8,83.3,639.6,133.2,11.4,12.5,91.1,11.4,13.3,85.6,6.57,8.48,77.4,0.1,1.31,3.23,0.71,0.2,3.33,35.8,33,2.73,1.41,0.3,4.14,2.53,1.72,0.4,0.2,0.2,0,25.2,3.74,6.87,30.8,3.33,0.4,0.4,0.1,29.8,0.4,0.71,0.61,1.01,3.71,1.92,0.51,0.51,0.2,0.1,0.1,0.2,0.1,0,0,0,0,0.1,1.92,1.62,0.4,1.01,0.51,0.3,1.01,30,0.71,15.1,4.44,29.5,2.83,8.18,4.04,0.61,0,0,0.61,0.3,2.22,0.2,0,49.5,0.4,6.46,28.5,19.3,3.03,47.3,2.53,4.04,62.5,2.63,0.2,39.8,227.7,115.2,5.56,1.01,0.81,1.82,3.33,44,37,83.9,6.36,0,0,0,2.22,2.93,0.1,1.72,1.62,0,0,0,6.77,0.81,0.91,47.1
263,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,5,5,450,5,0,0,0,0,0,0,0,0,0,0,32.8,37.6,87.2,776.6,338,8.6,8.6,100,16.2,16.4,98.8,7.8,12.4,62.9,0,0,0,0,0,0.2,37.6,28,9.6,1.8,0,3.4,0.8,0,0,0,0,0,27.8,3.2,6.6,10,21.4,0,0,5.6,32.8,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,33.2,39.6,1.4,0,0,31,0,0,0,0,0,24.4,90.2,32.8,0,0,0,0,0,20.6,20.6,100,0,0,0,0,0,0.2,0,0,0,0,0,0,5.8,0,0,0
264,Miha Bla?i?,SVN,DF,Angers,Ligue 1,29,1993,8,8,675,7.5,0.13,0.27,0.13,50,0.5,1,7.5,0,0,0,50.3,55.9,90,1083.9,362.1,12.5,12.9,96.9,28,30.4,92.1,9.33,11.9,78.7,0,0,3.2,0.13,0,3.47,55.9,52.9,2.93,2.8,0,4.8,0.4,0.13,0,0,0,0,44.8,2.8,8.27,5.6,45.7,3.07,0,0.13,50.3,0,0.67,0.53,0.27,0.13,0.13,0,0,0,0,0,0.13,0.13,0,0,0,0,0,0.67,0.27,0.4,0.27,0,0.4,1.2,33.3,0.8,4.8,1.47,30.6,2.53,1.87,0.4,2.13,0.8,0.13,1.33,0.67,1.33,3.47,0,62.8,9.33,34.1,31.1,0.4,0.4,59.9,0,0,0,0,0,38.8,170.3,93.1,1.47,0,0,0,0,42.8,42.3,98.8,0,0,0,0,0.67,1.07,0,0.13,0.27,0,0,0.13,10,1.87,0.8,70
265,Alexis Blin,FRA,MFDF,Lecce,Serie A,26,1996,9,2,400,4.4,0,0,0,0,0,0,0,0,0,0,38,44.8,84.8,747,218.2,13.4,15,89.4,19.3,21.8,88.5,4.09,6.36,64.3,0,0.23,2.5,0,0,2.05,44.8,43.2,1.59,1.59,0,5.45,0.68,0.91,0,0,0,0,35,2.73,7.05,2.73,37,4.09,0,0,38,0,0.68,0.68,1.36,0.48,0.45,0,0,0,0,0,0,0,0,0,0,0,0,2.27,1.59,0.91,1.14,0.23,0.45,0.91,50,0.45,15,5,33.3,7.73,6.36,0.91,3.18,1.36,0,1.82,1.59,3.86,4.32,0,56.4,7.05,25.5,28,5.45,0.23,54.8,0.45,0.45,100,0.45,0,33.4,200.2,109.1,2.5,0.23,0,0.23,0.45,33.4,31.4,93.9,0,0.45,0,0,1.82,0.68,0,0.91,1.59,0,0,0,10,1.59,1.59,50
266,Myron Boadu,NED,FW,Monaco,Ligue 1,21,2001,1,0,18,0.2,5,5,5,100,1,1,5,0,0,0,5,15,33.3,25,25,5,10,50,0,5,0,0,0,0,0,5,0,0,0,0,15,15,0,0,0,5,0,0,0,0,0,0,0,5,10,0,10,5,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,33.3,0,15,15,0,0,0,0,0,0,5,0,30,5,5,15,15,5,30,0,0,0,0,0,10,20,0,0,0,0,0,5,75,25,33.3,10,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0
267,Jérôme Boateng,GER,DF,Lyon,Ligue 1,34,1988,2,2,133,1.5,0,0,0,0,0,0,0,0,0,0,48.7,56.7,85.9,1214,380,9.33,10.7,87.5,26.7,28.7,93,12,16.7,72,0,0.67,2,1.33,0,2,56.7,54.7,2,2,0.67,6.67,2.67,0,0,0,0,0,40,3.33,13.3,10,41.3,3.33,0,0,48.7,0,0.67,1.33,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0.67,0.67,0,0,2,0,2,7.33,2,27.3,6,1.33,0,2.67,0.67,0,2,1.33,2.67,4,0,66.7,7.33,33.3,36,1.33,0,64.7,0,0,0,0,0,39.3,146.7,43.3,0.67,0,0,0,0,46,46,100,0,0,0,0,0,0,0,0,0,0,0,0,7.33,3.33,0.67,83.3
268,Kevin-Prince Boateng,GHA,MF,Hertha BSC,Bundesliga,35,1987,5,1,95,1.1,0,0,0,0,0,0,0,0,0,0,37.3,49.1,75.9,661.8,199.1,20.9,22.7,92,10.9,12.7,85.7,5.45,10.9,50,0,0,2.73,0,0,0.91,49.1,40,9.09,2.73,0,9.09,0,0,0,0,0,0,30.9,7.27,10.9,4.55,35.5,2.73,3.64,1.82,37.3,0.91,1.82,1.82,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,2.73,0.91,1.82,0,0.91,1.82,50,0.91,16.4,2.73,16.7,6.36,4.55,5.45,0.91,0,0,0.91,0,2.73,0.91,0,57.3,1.82,13.6,31.8,15.5,0.91,50,0,0.91,0,0,0,30,106.4,35.5,0,0.91,0,1.82,0.91,45.5,39.1,86,7.27,0,0,0,6.36,1.82,0,0,2.73,0,0,0,5.45,0.91,2.73,25
